Full Name,Employment Sector,Job Title,Current Monthly Salary (USD),Total Previous Loans,Active Loans,Total Outstanding Balance (USD),Avg Loan Amount (USD),Common Loan Reason,Historical Return Rate (%),Days Past Due (Max),MFI Diversity Score,Risk Label
Tariro F. Nyathi,Health,Medical Officer,1632,10,0,0,224,Small Business,50,75,5,High
Enock T. Mhlanga,Retail,Merchandiser,522,1,2,2120,1188,Utility Debt,99,0,1,Low
Gugulethu Y. Khumalo,Public Sector,ZIMRA Officer,563,0,0,0,466,Small Business,96,0,3,Low
Tariro V. Hlongwane,Mining,Driller,1933,9,6,1755,542,Medical,96,0,1,Low
Farai T. Masinga,Education,Teacher,2129,4,0,0,921,Solar Equipment,97,0,1,Low
Njabulo N. Marembo,Transport,Kombi Driver,378,5,1,530,1004,Home Improvement,89,28,4,Medium
Blessing R. Nyathi,Manufacturing,Line Supervisor,556,7,3,688,292,Utility Debt,96,0,2,Low
Anesu Q. Chikore,Education,Department Head,851,0,1,633,627,Home Improvement,58,31,4,High
Tapiwa M. Zhuwao,Retail,Merchandiser,464,2,0,0,364,Solar Equipment,96,0,1,Low
Chengetai Chidambaram 634,Retail,Merchandiser,393,8,3,2239,741,Medical,99,0,3,Low
Nomsa E. Zuma,Mining,Underground Supervisor,818,5,4,1696,693,Home Improvement,98,0,3,Low
Blessing V. Sibanda,Manufacturing,Factory Hand,515,3,3,948,308,Medical,99,4,2,Low
Kudakwashe N. Dube,Manufacturing,Welder,657,9,0,0,769,Utility Debt,52,147,3,High
Itayi W. Mutasa,Manufacturing,Line Supervisor,423,6,2,2603,1085,Emergency,87,28,3,Medium
Nyasha Mutambara 635,Public Sector,Customs Clerk,571,2,0,0,776,School Fees,100,2,1,Low
Enock J. Muzenda,Retail,Buyer,607,0,0,0,364,School Fees,99,0,1,Low
Anesu Dube 636,Public Sector,Admin Secretary,878,6,6,6280,914,Small Business,92,17,3,Medium
Rudo N. Chidambaram,Education,Lecturer,1052,5,1,466,736,Emergency,63,139,5,High
Tinashe E. Chidambaram,Mining,Shift Boss,1380,6,2,547,324,School Fees,96,0,3,Low
Rufaro Z. Mpofu,Mining,Underground Supervisor,2065,0,1,645,962,School Fees,96,0,3,Low
Thabo X. Mpofu,Health,Medical Officer,1303,5,2,595,572,Small Business,99,0,1,Low
Dumisani B. Dube,Transport,Truck Driver,343,9,3,2255,813,Home Improvement,98,0,1,Low
Tatenda R. Chikore,Health,Nurse,1152,2,0,0,713,Utility Debt,97,0,2,Low
Sizo Muzenda 637,Mining,Shift Boss,1059,4,1,280,471,Medical,96,1,1,Low
Nomsa M. Mwenje,Manufacturing,Welder,604,2,3,2281,1200,Home Improvement,99,0,3,Low
Tariro Madzima 638,Health,Nurse,1725,1,0,0,1099,Home Improvement,95,20,4,Medium
Chipo K. Tshuma,Health,Medical Officer,2053,10,3,3345,1167,Input Financing,100,0,2,Low
Rudo Bhebhe 639,Manufacturing,Line Supervisor,688,9,0,0,1143,Solar Equipment,99,0,1,Low
Farai Phiri 640,Retail,Buyer,819,4,2,563,376,Input Financing,98,0,3,Low
Nomsa W. Chuma,Agriculture,Agro-dealer,745,2,1,247,232,Emergency,99,0,1,Low
Munyaradzi I. Marembo,Health,Medical Officer,974,10,5,1609,368,Asset Financing,100,0,1,Low
Gugulethu Makoni 641,Agriculture,Tobacco Smallholder,521,9,3,2736,909,Emergency,87,19,3,Medium
Simba Maphosa 642,Public Sector,Admin Secretary,280,5,0,0,740,Asset Financing,79,79,4,High
Simba A. Moyo,Public Sector,Customs Clerk,587,2,3,976,510,Medical,92,22,3,Medium
Itayi C. Sithole,Public Sector,ZRP Sergeant,747,2,2,1608,698,Utility Debt,99,0,1,Low
Farai I. Nyathi,Public Sector,Teacher,976,3,4,1135,290,Input Financing,99,0,3,Low
Rufaro F. Chikore,Health,Lab Tech,1627,1,2,2032,958,Asset Financing,64,136,3,High
Dumisani J. Bhebhe,Mining,Driller,1786,0,1,432,761,Solar Equipment,98,0,2,Low
Tendai H. Zuma,Education,Teacher,1001,5,5,4262,877,Asset Financing,93,25,2,Medium
Simba B. Chuma,Mining,Driller,848,4,5,3495,956,Asset Financing,96,0,1,Low
Kuda X. Dube,Manufacturing,Welder,958,0,1,1134,1095,Small Business,97,0,2,Low
Kuda J. Chuma,Health,Medical Officer,1533,7,4,3080,1120,Home Improvement,85,150,3,High
Nomsa H. Dube,Public Sector,Customs Clerk,740,6,3,1605,479,Emergency,100,0,2,Low
Nomsa B. Mutambara,Transport,Kombi Driver,745,1,2,1092,1089,Input Financing,74,47,5,High
Sizo K. Chikore,Agriculture,Agro-dealer,364,8,0,0,295,Medical,100,0,1,Low
Munyaradzi N. Nyathi,Agriculture,Tobacco Smallholder,856,1,2,1635,1066,Home Improvement,98,0,3,Low
Blessing Muzenda 643,Mining,Underground Supervisor,1472,2,1,1158,1149,Utility Debt,97,0,2,Low
Panashe N. Sithole,Education,Department Head,1428,8,4,2529,796,School Fees,64,78,5,High
Thabo R. Hlongwane,Public Sector,ZRP Sergeant,291,7,5,2555,862,School Fees,86,25,4,Medium
Vimbai Chuma 644,Retail,Buyer,910,1,2,1648,717,Solar Equipment,88,29,4,Medium
Rudo Zuma 645,Transport,Logistics,956,10,2,1130,1053,Utility Debt,100,0,2,Low
Gugulethu Chuma 646,Retail,Buyer,576,7,0,0,944,Solar Equipment,82,45,5,High
Nyasha Mwenje 647,Health,Lab Tech,1130,4,5,2678,673,Utility Debt,100,0,2,Low
Rudo L. Chuma,Health,Nurse,2167,3,3,460,250,Utility Debt,96,0,3,Low
Farai R. Mutasa,Education,Teacher,1554,4,0,0,948,School Fees,96,0,1,Low
Kuda Mhlanga 648,Education,Teacher,1969,10,2,1294,576,Solar Equipment,61,36,3,High
Nyasha Y. Mhlanga,Manufacturing,Line Supervisor,443,1,1,1137,1045,Input Financing,87,26,4,Medium
Musa G. Chidambaram,Public Sector,Teacher,751,6,0,0,1134,Small Business,62,49,4,High
Anesu G. Zhuwao,Education,Lecturer,857,1,1,416,702,Emergency,93,5,3,Medium
Munyaradzi Q. Gumbo,Agriculture,Farm Manager,905,1,0,0,868,Home Improvement,70,141,3,High
Kuda E. Moyo,Agriculture,Farm Manager,671,4,2,643,584,Medical,99,0,3,Low
Kuda U. Madzima,Education,Teacher,1093,0,1,698,1022,Small Business,91,17,2,Medium
Sizo Zuma 649,Retail,Buyer,504,9,2,396,215,Medical,60,34,5,High
Enock A. Mutasa,Manufacturing,Welder,627,1,0,0,960,Solar Equipment,95,17,3,Medium
Farai Sibanda 650,Health,Pharmacist Assistant,2093,7,5,3855,951,Solar Equipment,57,55,4,High
Rufaro A. Nyathi,Agriculture,Farm Manager,978,8,6,2694,399,School Fees,97,0,2,Low
Simba G. Ncube,Public Sector,Teacher,331,9,5,2071,370,Small Business,73,77,4,High
Rufaro K. Mwenje,Retail,Buyer,995,7,0,0,878,Solar Equipment,96,0,1,Low
Njabulo Tshuma 651,Education,Department Head,2146,7,0,0,263,Emergency,92,15,4,Medium
Chengetai M. Moyo,Public Sector,ZRP Sergeant,336,0,0,0,820,Emergency,76,149,4,High
Simba Chidambaram 652,Agriculture,Agro-dealer,328,8,1,583,1149,Home Improvement,98,0,3,Low
Tinashe R. Chikore,Education,Principal,1172,0,0,0,787,School Fees,93,21,2,Medium
Chengetai W. Bhebhe,Transport,Kombi Driver,365,1,2,1480,833,Solar Equipment,97,0,2,Low
Itayi Zhou 653,Mining,Underground Supervisor,2026,0,0,0,393,School Fees,98,3,1,Low
Gugulethu W. Ncube,Education,Principal,963,3,1,512,738,Emergency,99,0,3,Low
Tapiwa U. Marembo,Agriculture,Farm Manager,577,3,2,1971,886,Home Improvement,99,0,2,Low
Chipo Dube 654,Manufacturing,Line Supervisor,489,5,4,2106,761,Solar Equipment,96,0,1,Low
Chengetai Q. Zhou,Health,Medical Officer,1803,2,3,3297,943,Home Improvement,88,26,4,Medium
Farai O. Sithole,Public Sector,Teacher,916,0,0,0,941,Asset Financing,100,0,2,Low
Dumisani N. Dube,Manufacturing,Welder,335,1,0,0,1090,Medical,87,16,3,Medium
Rufaro Mutambara 655,Retail,Shop Assistant,626,3,4,2072,634,Small Business,100,0,2,Low
Nyasha O. Maphosa,Agriculture,Agro-dealer,551,0,0,0,153,School Fees,95,28,2,Medium
Tinashe M. Marembo,Transport,Truck Driver,702,9,5,1223,270,Utility Debt,95,13,4,Medium
Tariro Marembo 656,Retail,Buyer,754,1,1,725,845,School Fees,79,120,4,High
Rufaro E. Madzima,Education,Principal,1260,9,1,755,984,Utility Debt,99,0,1,Low
Kuda X. Madzima,Transport,Logistics,834,3,4,1939,577,Home Improvement,87,19,2,Medium
Njabulo N. Nyathi,Education,Department Head,1220,2,0,0,947,Input Financing,98,2,1,Low
Anesu Z. Hlongwane,Manufacturing,Line Supervisor,631,2,2,245,161,School Fees,57,93,5,High
Njabulo R. Gumbo,Mining,Driller,1339,6,4,1379,669,Small Business,100,0,1,Low
Kuda P. Marembo,Transport,Truck Driver,674,3,0,0,640,School Fees,96,0,3,Low
Vimbai R. Maphosa,Transport,Kombi Driver,783,4,1,159,309,Asset Financing,99,0,2,Low
Chengetai Mutambara 657,Health,Lab Tech,1593,7,4,3676,910,Solar Equipment,60,78,3,High
Takudzwa Chuma 658,Health,Nurse,1472,8,0,0,858,Small Business,100,0,1,Low
Njabulo V. Bhebhe,Public Sector,Teacher,410,8,0,0,827,Utility Debt,99,0,1,Low
Blessing Khumalo 659,Agriculture,Tobacco Smallholder,632,5,5,2950,813,Asset Financing,98,0,3,Low
Tariro Gumbo 660,Mining,Driller,1751,10,3,1879,556,Input Financing,96,0,2,Low
Musa L. Moyo,Education,Principal,1436,5,2,263,169,Emergency,86,12,2,Medium
Sizo R. Sibanda,Public Sector,Customs Clerk,933,7,1,432,502,Solar Equipment,100,0,2,Low
Panashe I. Bhebhe,Public Sector,Teacher,944,5,1,804,786,Asset Financing,96,0,1,Low
Dumisani Masinga 661,Public Sector,Customs Clerk,800,5,4,1274,412,Medical,96,3,2,Low
Kudakwashe V. Zuma,Manufacturing,Welder,805,3,4,4354,1146,Small Business,96,0,3,Low
Farai Ncube 662,Health,Nurse,825,5,6,1077,228,Input Financing,100,0,1,Low
Enock P. Phiri,Education,Teacher,1125,10,6,5529,1115,Small Business,96,0,3,Low
Rufaro Moyo 663,Transport,Kombi Driver,856,7,0,0,939,School Fees,100,0,2,Low
Enock Makoni 664,Agriculture,Tobacco Smallholder,527,2,1,754,737,Solar Equipment,100,2,3,Low
Gugulethu Y. Ncube,Health,Lab Tech,1795,4,1,152,219,Utility Debt,88,13,2,Medium
Tariro O. Ndlovu,Manufacturing,Line Supervisor,741,7,0,0,421,Asset Financing,98,0,3,Low
Njabulo Zuma 665,Manufacturing,Welder,255,7,2,2266,946,Home Improvement,75,67,3,High
Simba Q. Zhuwao,Agriculture,Tobacco Smallholder,332,2,1,1095,929,Utility Debt,89,12,3,Medium
Anesu X. Ncube,Education,Teacher,892,9,0,0,946,Asset Financing,99,0,3,Low
Dumisani Q. Zhou,Education,Lecturer,1442,2,2,736,630,Input Financing,100,0,3,Low
Chipo A. Nyathi,Transport,Logistics,792,0,1,1211,1142,Solar Equipment,96,0,1,Low
Tinashe M. Chuma,Transport,Kombi Driver,749,3,0,0,1025,Utility Debt,95,10,2,Medium
Musa E. Ndlovu,Public Sector,ZIMRA Officer,262,4,0,0,382,Medical,98,0,3,Low
Tatenda J. Makoni,Mining,Driller,1790,6,1,213,321,Emergency,86,25,4,Medium
Sizo R. Marembo,Transport,Truck Driver,884,6,1,395,551,Asset Financing,98,0,3,Low
Vimbai J. Mutasa,Retail,Merchandiser,370,1,0,0,571,Asset Financing,98,0,3,Low
Kudakwashe Chikore 666,Public Sector,Admin Secretary,606,2,2,657,479,Medical,85,126,5,High
Kuda B. Mwenje,Public Sector,Teacher,674,0,1,107,194,Emergency,53,90,5,High
Munyaradzi N. Sithole,Manufacturing,Welder,835,2,2,1718,950,Asset Financing,98,0,2,Low
Makanaka S. Maphosa,Education,Teacher,1592,9,0,0,437,Solar Equipment,86,8,4,Medium
Tendai Tshuma 667,Health,Medical Officer,1632,4,4,1045,363,Small Business,78,69,3,High
Tendai Mpofu 668,Education,Department Head,2159,3,1,881,856,Emergency,79,65,4,High
Takudzwa A. Muzenda,Manufacturing,Factory Hand,593,8,6,4230,902,Medical,97,0,2,Low
Nomsa Y. Makoni,Mining,Shift Boss,1043,5,1,1257,1056,Utility Debt,90,30,2,Medium
Musa C. Marembo,Agriculture,Agro-dealer,261,3,1,152,247,Small Business,96,0,2,Low
Njabulo X. Marembo,Public Sector,ZIMRA Officer,718,1,2,745,568,Asset Financing,96,0,1,Low
Blessing R. Mpofu,Education,Teacher,1825,1,0,0,755,School Fees,84,52,3,High
Kudakwashe N. Ndlovu,Mining,Shift Boss,2089,5,4,2085,674,Input Financing,100,4,3,Low
Njabulo Ncube 669,Public Sector,Admin Secretary,948,7,3,2315,817,Input Financing,87,27,2,Medium
Rudo Chidambaram 670,Mining,Underground Supervisor,2043,8,6,1353,225,Emergency,58,77,3,High
Blessing G. Khumalo,Retail,Shop Assistant,847,1,0,0,180,School Fees,64,35,5,High
Rufaro D. Ndlovu,Mining,Driller,822,10,0,0,488,Medical,89,21,3,Medium
Makanaka A. Chikore,Transport,Kombi Driver,924,1,0,0,816,Home Improvement,76,52,4,High
Kuda G. Chuma,Education,Teacher,1557,3,3,1092,354,Medical,95,17,4,Medium
Rufaro J. Mutambara,Public Sector,Teacher,743,8,3,1778,496,School Fees,98,0,1,Low
Makanaka H. Dube,Mining,Underground Supervisor,1835,5,3,1570,986,Small Business,90,17,3,Medium
Tendai A. Phiri,Agriculture,Tobacco Smallholder,649,1,1,561,736,Input Financing,88,27,4,Medium
Chengetai Mutasa 671,Education,Department Head,1374,6,3,1988,1054,Input Financing,66,103,3,High
Itayi Dube 672,Manufacturing,Line Supervisor,476,2,1,1319,1172,Asset Financing,91,9,4,Medium
Gugulethu K. Mutambara,Education,Department Head,1962,0,1,336,484,Emergency,86,5,3,Medium
Simba R. Masinga,Health,Medical Officer,1233,4,3,1985,1152,Home Improvement,93,18,3,Medium
Tapiwa C. Hlongwane,Agriculture,Tobacco Smallholder,972,8,4,1346,342,Solar Equipment,86,15,4,Medium
Itayi L. Hlongwane,Public Sector,ZRP Sergeant,564,10,6,4218,608,Input Financing,89,17,3,Medium
Blessing J. Dube,Education,Lecturer,1739,10,3,370,201,Medical,50,129,5,High
Blessing R. Dube,Agriculture,Agro-dealer,973,3,3,1236,816,Emergency,96,0,3,Low
Chengetai Moyo 673,Public Sector,Admin Secretary,389,1,1,84,154,Emergency,99,0,2,Low
Sizo Z. Ncube,Transport,Truck Driver,330,1,2,1017,524,Solar Equipment,97,0,2,Low
Chengetai R. Mutambara,Manufacturing,Factory Hand,322,7,5,2266,904,Home Improvement,92,14,4,Medium
Enock N. Nyathi,Manufacturing,Line Supervisor,914,10,1,561,1048,School Fees,89,16,4,Medium
Anesu K. Zuma,Transport,Logistics,749,9,0,0,425,Small Business,96,0,1,Low
Itayi Phiri 674,Education,Teacher,1139,9,3,1448,459,Small Business,67,146,3,High
Vimbai M. Zuma,Health,Medical Officer,1415,6,2,479,450,Asset Financing,98,0,3,Low
Farai Phiri 675,Retail,Merchandiser,799,8,3,2585,1075,Input Financing,93,16,3,Medium
Nomsa Ndlovu 676,Agriculture,Tobacco Smallholder,330,2,1,219,191,Medical,60,79,5,High
Takudzwa Sithole 677,Public Sector,Admin Secretary,791,7,6,1350,444,Solar Equipment,97,4,2,Low
Enock R. Phiri,Public Sector,Admin Secretary,336,3,2,895,487,School Fees,97,1,3,Low
Sizo F. Mutasa,Manufacturing,Welder,585,10,4,2962,695,Medical,98,0,1,Low
Rufaro P. Phiri,Agriculture,Tobacco Smallholder,566,1,0,0,1005,Utility Debt,93,26,3,Medium
Tapiwa F. Chuma,Retail,Shop Assistant,758,2,0,0,898,Small Business,100,0,2,Low
Nomsa Q. Mwenje,Education,Lecturer,1148,6,4,684,341,Small Business,100,0,1,Low
Chipo S. Chidambaram,Transport,Logistics,807,4,4,830,394,School Fees,72,114,3,High
Musa W. Sithole,Manufacturing,Factory Hand,350,4,4,1462,628,Small Business,95,14,2,Medium
Tatenda A. Maphosa,Health,Medical Officer,1767,0,1,256,495,Small Business,95,11,3,Medium
Tinashe Phiri 678,Retail,Shop Assistant,750,2,1,272,462,Home Improvement,96,0,3,Low
Simba O. Marembo,Transport,Truck Driver,706,1,0,0,818,Solar Equipment,68,115,4,High
Enock D. Ndlovu,Transport,Kombi Driver,383,9,2,1504,674,Small Business,50,125,5,High
Rufaro J. Gumbo,Manufacturing,Factory Hand,310,5,4,3255,821,Small Business,97,0,2,Low
Vimbai Moyo 679,Public Sector,Teacher,969,1,2,1689,922,Emergency,97,0,3,Low
Enock D. Sibanda,Public Sector,Admin Secretary,884,5,4,1275,559,Solar Equipment,100,0,1,Low
Kuda W. Ndlovu,Public Sector,Teacher,690,3,1,953,1114,Home Improvement,99,2,1,Low
Nomsa N. Mutasa,Retail,Merchandiser,644,1,2,239,198,School Fees,97,0,3,Low
Dumisani Moyo 680,Health,Lab Tech,1070,10,3,1350,515,Input Financing,69,40,5,High
Kudakwashe B. Madzima,Health,Pharmacist Assistant,1302,10,6,647,163,School Fees,81,73,3,High
Chipo Q. Dube,Public Sector,Admin Secretary,854,7,6,1400,320,Solar Equipment,89,17,4,Medium
Rudo J. Madzima,Health,Pharmacist Assistant,1439,6,2,265,179,Asset Financing,98,0,1,Low
Rufaro B. Maphosa,Health,Lab Tech,1165,0,0,0,161,Utility Debt,98,0,3,Low
Chengetai L. Dube,Education,Teacher,1915,2,1,196,244,Asset Financing,94,16,2,Medium
Itayi Mutambara 681,Public Sector,ZIMRA Officer,780,7,1,1015,955,School Fees,81,44,5,High
Vimbai F. Sibanda,Transport,Truck Driver,653,2,2,1991,1112,Medical,76,142,5,High
Njabulo Chikore 682,Agriculture,Farm Manager,887,1,0,0,1101,Utility Debt,96,0,3,Low
Vimbai F. Hlongwane,Mining,Shift Boss,1230,7,6,1562,294,Medical,97,0,2,Low
Tapiwa L. Maphosa,Education,Teacher,1930,7,5,4133,763,Asset Financing,91,24,4,Medium
Tinashe Zhuwao 683,Mining,Underground Supervisor,850,8,3,358,198,Emergency,90,5,4,Medium
Farai Q. Chuma,Manufacturing,Welder,519,9,4,2839,1167,Utility Debt,96,0,2,Low
Gugulethu F. Zuma,Health,Lab Tech,2024,5,6,931,290,Utility Debt,53,49,4,High
Simba J. Phiri,Education,Department Head,1440,8,1,204,264,Medical,97,0,2,Low
Kudakwashe Q. Zhuwao,Retail,Shop Assistant,460,1,1,270,266,Utility Debt,93,19,3,Medium
Kuda Hlongwane 684,Education,Department Head,1182,5,6,2550,495,Asset Financing,100,0,2,Low
Tariro O. Sibanda,Manufacturing,Welder,910,9,3,1069,548,Medical,99,0,3,Low
Kuda E. Sibanda,Transport,Kombi Driver,548,9,4,3028,1013,Emergency,90,24,4,Medium
Kudakwashe J. Maphosa,Agriculture,Agro-dealer,625,8,0,0,790,Asset Financing,96,0,1,Low
Takudzwa Z. Chikore,Education,Principal,1440,3,1,612,811,Input Financing,56,139,4,High
Gugulethu Nyathi 685,Education,Principal,1281,9,1,882,886,Small Business,91,16,4,Medium
Farai O. Dube,Agriculture,Farm Manager,453,4,0,0,359,Utility Debt,97,1,2,Low
Kuda Mutasa 686,Agriculture,Agro-dealer,870,6,2,1424,684,Solar Equipment,86,18,4,Medium
Kuda G. Zuma,Manufacturing,Welder,684,4,5,3960,807,Emergency,88,25,4,Medium
Takudzwa Y. Mwenje,Manufacturing,Welder,985,0,1,204,256,Home Improvement,99,0,3,Low
Musa Phiri 687,Health,Lab Tech,1570,4,2,674,414,Medical,94,17,4,Medium
Tatenda C. Madzima,Retail,Shop Assistant,963,5,0,0,569,Home Improvement,78,78,5,High
Makanaka Masinga 688,Transport,Kombi Driver,589,10,0,0,979,Utility Debt,100,0,2,Low
Gugulethu R. Nyathi,Health,Lab Tech,1412,4,2,660,323,Asset Financing,98,0,2,Low
Itayi P. Masinga,Transport,Logistics,502,2,1,609,612,Solar Equipment,97,0,1,Low
Makanaka S. Moyo,Agriculture,Tobacco Smallholder,800,3,3,1881,1044,Home Improvement,97,0,1,Low
Anesu Moyo 689,Retail,Merchandiser,726,1,1,217,231,Utility Debt,91,14,3,Medium
Tapiwa Tshuma 690,Transport,Kombi Driver,615,6,6,1091,342,Solar Equipment,92,11,3,Medium
Blessing O. Moyo,Public Sector,ZRP Sergeant,592,0,0,0,566,Utility Debt,94,24,4,Medium
Rudo M. Madzima,Public Sector,ZIMRA Officer,645,1,1,939,994,Emergency,100,0,2,Low
Chengetai E. Bhebhe,Health,Lab Tech,1999,8,3,1721,694,Medical,100,0,1,Low
Chipo N. Bhebhe,Agriculture,Agro-dealer,737,1,1,1074,1166,Emergency,97,0,3,Low
Chengetai U. Zuma,Mining,Underground Supervisor,1801,3,2,526,305,Solar Equipment,67,53,4,High
Dumisani H. Zhuwao,Public Sector,ZRP Sergeant,531,3,1,620,549,Utility Debt,86,20,2,Medium
Dumisani Mwenje 691,Retail,Merchandiser,338,7,2,1597,1028,Solar Equipment,77,64,3,High
Sizo C. Makoni,Agriculture,Tobacco Smallholder,973,6,1,472,624,Home Improvement,99,0,2,Low
Takudzwa Q. Hlongwane,Manufacturing,Welder,273,8,6,2597,761,Utility Debt,92,23,3,Medium
Farai L. Nyathi,Retail,Shop Assistant,500,9,5,3052,1189,Solar Equipment,99,0,3,Low
Tariro I. Tshuma,Mining,Driller,1753,5,4,3033,998,Solar Equipment,92,6,4,Medium
Vimbai C. Hlongwane,Public Sector,Customs Clerk,492,10,2,1166,1099,Small Business,55,129,4,High
Gugulethu R. Chidambaram,Public Sector,Customs Clerk,624,5,5,2100,622,School Fees,97,0,2,Low
Nomsa X. Nyathi,Agriculture,Farm Manager,251,4,3,1169,411,Home Improvement,56,77,5,High
Kuda Madzima 692,Mining,Underground Supervisor,1464,8,3,1061,374,Utility Debt,86,22,3,Medium
Tatenda V. Zuma,Public Sector,Admin Secretary,252,9,6,7777,1130,School Fees,97,0,2,Low
Tendai P. Nyathi,Manufacturing,Factory Hand,554,1,2,987,664,Emergency,88,12,3,Medium
Munyaradzi S. Nyathi,Retail,Shop Assistant,638,8,3,2278,633,Solar Equipment,99,0,3,Low
Vimbai W. Maphosa,Education,Department Head,1854,4,0,0,1167,Home Improvement,85,143,3,High
Kudakwashe H. Mutambara,Education,Department Head,1136,7,2,450,258,Emergency,100,0,2,Low
Kudakwashe Z. Ncube,Health,Nurse,1421,1,1,425,595,Input Financing,70,127,3,High
Gugulethu Z. Mutambara,Agriculture,Agro-dealer,854,8,1,746,680,Home Improvement,86,21,2,Medium
Njabulo V. Khumalo,Transport,Logistics,334,1,0,0,917,Input Financing,86,24,3,Medium
Anesu D. Chikore,Mining,Underground Supervisor,1381,1,2,1415,805,Home Improvement,100,0,2,Low
Munyaradzi L. Chidambaram,Mining,Shift Boss,1263,7,4,723,295,Medical,95,24,4,Medium
Musa K. Sithole,Transport,Logistics,858,9,5,1214,224,Input Financing,95,30,2,Medium
Dumisani M. Khumalo,Education,Principal,2179,10,1,685,601,Utility Debt,99,0,1,Low
Blessing Gumbo 693,Health,Lab Tech,1790,3,2,401,344,Input Financing,98,0,2,Low
Kuda C. Mhlanga,Agriculture,Farm Manager,497,10,3,1556,678,Input Financing,93,26,3,Medium
Tinashe R. Khumalo,Public Sector,ZIMRA Officer,937,8,3,1626,956,School Fees,100,0,3,Low
Blessing Y. Chuma,Retail,Buyer,988,10,5,3235,631,Home Improvement,96,0,3,Low
Kuda M. Ncube,Manufacturing,Factory Hand,607,9,2,482,440,Small Business,98,0,3,Low
Njabulo W. Mutambara,Retail,Merchandiser,428,7,2,333,201,Small Business,96,0,1,Low
Chipo J. Sibanda,Mining,Shift Boss,1859,3,0,0,822,Home Improvement,100,0,2,Low
Makanaka Sithole 694,Mining,Shift Boss,1503,7,3,1591,803,Medical,59,137,5,High
Tinashe I. Mhlanga,Manufacturing,Line Supervisor,350,0,0,0,968,Home Improvement,98,0,2,Low
Gugulethu Nyathi 695,Manufacturing,Factory Hand,351,4,4,2301,531,Home Improvement,100,0,1,Low
Farai Makoni 696,Education,Teacher,1798,3,4,4383,1161,Emergency,96,0,3,Low
Anesu Ndlovu 697,Agriculture,Tobacco Smallholder,726,1,2,598,527,Utility Debt,53,78,4,High
Sizo T. Zhuwao,Retail,Merchandiser,766,5,2,1018,552,Emergency,98,0,3,Low
Farai J. Zuma,Transport,Kombi Driver,265,3,3,2052,962,Asset Financing,98,0,2,Low
Rufaro F. Phiri,Agriculture,Tobacco Smallholder,958,6,6,3945,970,Solar Equipment,96,5,1,Low
Simba P. Maphosa,Manufacturing,Factory Hand,821,6,1,511,579,Home Improvement,99,0,2,Low
Anesu Khumalo 698,Mining,Shift Boss,1273,4,4,443,171,Input Financing,87,5,3,Medium
Tendai N. Hlongwane,Manufacturing,Welder,478,5,5,1097,240,Input Financing,97,0,2,Low
Itayi O. Marembo,Retail,Merchandiser,408,10,6,2029,311,Utility Debt,88,25,4,Medium
Simba N. Moyo,Mining,Driller,1563,7,3,2646,1098,Small Business,93,9,4,Medium
Rudo Sibanda 699,Agriculture,Agro-dealer,434,6,1,485,847,Utility Debt,96,0,2,Low
Anesu X. Sithole,Mining,Shift Boss,1391,6,2,1806,1150,School Fees,98,5,2,Low
Vimbai Sibanda 700,Agriculture,Tobacco Smallholder,856,4,5,2157,741,School Fees,76,56,5,High
Njabulo E. Muzenda,Health,Pharmacist Assistant,1095,5,6,1076,345,Solar Equipment,72,136,4,High
Thabo S. Khumalo,Agriculture,Farm Manager,508,5,0,0,672,Emergency,98,0,2,Low
Tapiwa S. Chuma,Mining,Underground Supervisor,1825,0,0,0,1177,Medical,64,42,3,High
Tariro Q. Tshuma,Public Sector,ZIMRA Officer,967,3,1,146,185,Solar Equipment,97,0,3,Low
Simba Zhuwao 701,Agriculture,Agro-dealer,505,6,0,0,806,Input Financing,59,92,5,High
Kuda G. Phiri,Manufacturing,Line Supervisor,616,1,0,0,581,Emergency,97,0,1,Low
Gugulethu Q. Gumbo,Public Sector,ZRP Sergeant,974,9,2,382,284,Small Business,60,84,3,High
Tapiwa U. Sithole,Mining,Shift Boss,1086,1,1,154,156,Home Improvement,100,0,1,Low
Nomsa V. Sithole,Health,Medical Officer,1487,3,3,2951,919,Emergency,99,0,2,Low
Nomsa C. Dube,Education,Department Head,1112,2,0,0,702,Solar Equipment,95,27,3,Medium
Chengetai Zuma 702,Agriculture,Farm Manager,416,4,2,929,701,Emergency,96,0,1,Low
Itayi A. Sibanda,Agriculture,Agro-dealer,659,8,6,6448,1048,Input Financing,97,0,3,Low
Nomsa J. Moyo,Transport,Kombi Driver,358,2,0,0,688,Small Business,83,55,4,High
Rufaro T. Ncube,Public Sector,ZRP Sergeant,809,9,1,635,559,School Fees,86,10,3,Medium
Anesu W. Ndlovu,Public Sector,Customs Clerk,764,6,4,3558,775,School Fees,96,0,2,Low
Tariro D. Mpofu,Agriculture,Farm Manager,837,5,6,4920,1009,Small Business,88,18,4,Medium
Tapiwa T. Phiri,Retail,Buyer,298,6,2,864,512,Input Financing,94,14,2,Medium
Tariro U. Dube,Retail,Shop Assistant,747,4,2,1880,1192,Input Financing,95,20,3,Medium
Tendai B. Madzima,Mining,Shift Boss,1504,2,2,538,350,Home Improvement,86,6,4,Medium
Blessing M. Mutambara,Manufacturing,Line Supervisor,597,1,1,406,810,Emergency,96,0,3,Low
Tariro H. Sibanda,Public Sector,ZRP Sergeant,379,2,3,983,321,Medical,97,0,2,Low
